2Generations;Oberlausitz;Band;Party-Rock;www.facebook.com/2generationsband
22 Times;Löbau;Band;Pop-Punk;www.facebook.com/22TiMES
A Dead End Society;Bautzen;Band;Metalcore/Deathmetal/Progressive;www.facebook.com/ADeadEndSociety
Agent Glasgow;Görlitz;Band;Rock'n'Roll;www.facebook.com/AGENT-GLASGOW-151748521529197
Alexandra Kaczmarek;Görlitz;Solo;Cellistin;https://www.facebook.com/alexandra.ali.kaczmarek
Am Tropf;Zittau;Band;Fun-Punk;https://www.facebook.com/AmTropfsSprottenregen/
Appl' Juice;Görlitz;Band;Soul, Blues, Jazz;www.facebook.com/appl.band
Ask For It;Görlitz;Band;Alternative Rock;www.facebook.com/askforit.band
Blitz Reigns;Görlitz;Band;Metal;www.facebook.com/blitzreigns
Bitter Verses;Senftenberg;Band;Hardcore/Metal;www.facebook.com/bitterverseshc
Caro Renner;Görlitz;Solo;Songwriter;www.facebook.com/carorennermusik
Casacustica;Görlitz;Band;Experimental, Acoustic, World Music;www.facebook.com/custicacasa
Clara Zachmann;Zittau;Solo;Solo-Gesang (Cover);www.facebook.com/profile.php?id=100010603489567
Colour The Sky;Görlitz;Band;Acoustic Rock;www.facebook.com/colourtheskymusic
Daniel Jurke;Görlitz;Solo;Folk;www.facebook.com/TheWhistlinCatMusic
Dave & The Universe;Görlitz;Band;Pop-Rock;www.facebook.com/daveandtheuniverse
Days Of Bloodshed;Rietschen;Band;Hardcore/Metal;www.facebook.com/dobloodshed
Din A3;Löbau;Band;Punk Rock;www.facebook.com/dina3band
Direktantrieb;Zittau;Band;Electro;https://www.facebook.com/direktantriebZI
Dogs In The Fog;Görlitz;Band;Folk-Rock-Punk;www.facebook.com/Dogs-In-The-Fog-259297754085966
DONLT;Görlitz;Solo;Samplebeat;www.facebook.com/pg/donlts
Down The Abyss;Obercunnersdorf;Band;Doom/Postmetal;www.facebook.com/downtheabyssband
East End Chaos;Löbau;Band;Punk Rock/Oi!-Punk/Streetrock;www.facebook.com/eastendchaos
Enjoy-The Team;Niesky;Band;Punk/Rock;www.facebook.com/enjoythefcknteam
Eyedia;Görlitz;Band;Alternative Rock;www.facebook.com/Eyedia.Band
Feet First;Görlitz;Band;Hardcore, Punk, Metal;www.facebook.com/feetfirsthc
Fisherman's Band;Görlitz;Band;Classic Rock (Cover);www.facebook.com/Fishermans-Band-228869443950601
Forget Your Hopes;Weißwasser;Band;Deathcore/Hardcore;www.facebook.com/forgetyourhopes
GoldkiD;Görlitz;Solo;Neuro Hardcore Flavour Beatz;www.facebook.com/pg/officialgoldkid
Heksebrann;Görlitz;Band;Metal;www.facebook.com/heksebrann
Horde;Görlitz;Band;Noise;https://horde.bandcamp.com
Hot Spot;Görlitz;Band;Rock, Funk, Latin;www.facebook.com/HotSpot.de
Jela;Weißwasser;Solo;Rock, Pop, RnB, Soul (Cover);www.facebook.com/JeLa.original
Jenix;Zittau;Band;Popcore;www.facebook.com/Jenixband
Jochen Fünf;Görlitz;Band;Kroatenbossanova;https://jochenfuenf.jimdo.com
Jonny Kurt vs. Hank the Tank;Görlitz;Band;Mistery-Surf-Proto-Punk;https://jonnykurtvshankthetank.bandcamp.com
JUA;Görlitz;Solo;Liedermacher;?
Kayman;Görlitz;Band;Stoner Rock;www.facebook.com/KAYMAN.13
KEON;Görlitz;Solo;D&B;https://www.facebook.com/heiko.teschner.9
Kingdom In Hell;Görlitz;Band;Metal;www.facebook.com/kingdominhell
KurtL (und di dickn Freunde);Oderwitz;Solo;Singer Songwriter (mit Backing Band);www.facebook.com/KurtL-155046794564382
Marc Winkler;Görlitz;Solo;Acoustic Guitar (Cover);www.facebook.com/marcwinklerguitarplayer
Mave;Görlitz;Solo;Hip-Hop;www.facebook.com/mave0815
MC Maik;Görlitz;Solo;Hip-Hop;www.facebook.com/McMaikwaiaRecords
Men Under Invasion;Löbau;Band;Stoner-Metal-Grunge;www.facebook.com/MenUnderInvasion
Mouth Of Madness;Görlitz;Band;Black, Death, Trash;www.facebook.com/pg/thewolvesofgolgatha
Normalzustand;Eibau;Band;Punk Rock;www.facebook.com/normalzustandband
Pakolbi;Görlitz;Band;Songwriter;http://pakolbi.com
Pangäa;Görlitz;Band;Metalcore;www.facebook.com/pangaa.gorlitz
Pikodeath;Zittau/Liberec;Band;Brutal-Thrash-Death-Metal;www.facebook.com/Pikodeath
PLAY;Görlitz;Band;Electrobeats Live Drums Percussion;www.facebook.com/play.goerlitz
Profanation;Görlitz;Band;Brutal, Death, Grind;www.facebook.com/pg/ProfanationDeathGrind
Purity Law;Niesky;Band;Hard Rock;www.facebook.com/PurityLawNiesky
Querschlaeger;Löbau;Band;Streetrock/Punk Rock;www.facebook.com/querschlaeger.sachsen
Qurizz K;Görlitz;Solo;Acoustic & Rock;www.facebook.com/Qurizz-K-Music-1467234803587503
RamRoad;Zittau;Band;Cover-Rock;www.facebook.com/RamRoadOfficial
Richard Fuhrmann;Görlitz / DD;Solo;Acoustic Guitar;www.facebook.com/RichardFuhrmannMusic
Rooftop Radio;Görlitz;Band;Alternative Rock;www.facebook.com/RooftopRadioBand
Semper Mirandus;Görlitz;Band;Lounge, Jazz, Blues;www.facebook.com/SemperMirandus
Sheyne Khaloymes;Görlitz;Band;Klezmer;www.facebook.com/Sheyne-Khaloymes-2090691581220420
SittenEhre;Ostritz;Band;Deutschpunk;www.facebook.com/SittenEhre
Steffen-Peschel-Band;Löbau;Band ;Cover;www.steffen-peschel.de/steffen-peschel-band
STEIN;Löbau;Band;Alternative Folk;www.facebook.com/STEIN-folk-ddeuil-731790906845784
Stereo Pilot;Löbau;Band;Deutsch Rock;www.facebook.com/stereopilot.band
Surya;Görlitz;Solo;Synth Rock;www.facebook.com/suryamusicart
The Dunwich Horror;Bautzen;Band;Deathcore/Slamcore;www.facebook.com/thedunwichhorror.music
The Heart's Intent;Herrnhut;Band;Melodic Hardcore;www.facebook.com/theheartsintentband
The Mean Machines;Weißwasser/Bad Muskau;Band;IndieRoll;www.facebook.com/themeanmachines
The Most Wanted;Mücka;Band;Cover-Rock;www.facebook.com/xdthemostwanted1a
Theodicy;Weißwasser;Band;War Metal;www.facebook.com/THEODICYde
Topic Today;Görlitz;Band;College Rock;https://www.facebook.com/topictoday
Turbosperber;Zittau;Band;Rock'n'Roll;www.facebook.com/turbosperber
Unbekannt;Ostritz;Band;Deutschpunk;http://unbekanntmusic.blogsport.de
Yellow Cap;Görlitz;Band;Ska;www.facebook.com/yellowcap
